,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
3596,19 - 24,C White Lightening Serum,4.8,2346,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 month - 3 months,1,5,Medium Light,Neutral,1
3621,19 - 24,Ultralight Hydraglow Day Cream,3.9,733,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
3627,25 - 29,C-White Perfect Radiance Night Moisturizer,3.9,1795,Instagram,Night Cream,Moisturizer,Oily,1 week - 1 month,1,4,Medium Light,Neutral,1
3629,19 - 24,Pore Tightening & Oil Control Moist Serum,3.4,19,Shopee,Serum \\u0026 Essence,Treatment,Normal,6 months - 1 year,1,5,Medium Light,Neutral,1
3632,19 - 24,C White Lightening Serum,5.0,2,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,4,Medium Light,Neutral,1
3646,30 - 34,Ultralight Hydraglow Day Cream,4.4,37,FD Try and Review,Day Cream,Moisturizer,Combination,3 months - 6 months,0,5,Medium Light,Neutral,1
3654,19 - 24,Ultralight Hydraglow Day Cream,4.3,260,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,4,Medium,Neutral,1
3655,25 - 29,C White Lightening Serum,4.8,2344,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium,Neutral,1
3665,19 - 24,Anti Acne & Brightening Serum,5.0,15,Shopee,Acne Treatment,Treatment,Combination,Less than 1 week,1,5,Medium,Neutral,1
3668,18 and Under,C-White Perfect Radiance Night Moisturizer,4.5,747,Brand website,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3671,25 - 29,C White Lightening Serum,4.9,1197,Brand website,Serum \\u0026 Essence,Treatment,Combination,3 months - 6 months,1,4,Medium,Neutral,1
3693,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.3,1401,Beauty Studio,Sun Protection,Moisturizer,Combination,1 month - 3 months,0,5,Medium Light,Neutral,1
3700,25 - 29,Ultralight Hydraglow Day Cream,4.7,11,Tokopedia,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Warm,1
3707,25 - 29,Revitalizing Anti aging serum,4.1,20,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium,Warm,1
3709,18 and Under,Skinfit Essence Toner,5.0,93,Instagram,Toner,Cleanser,Combination,Less than 1 week,0,5,Medium,Warm,1
3710,19 - 24,Ultralight Hydraglow Day Cream,4.6,12,Tokopedia,Day Cream,Moisturizer,Normal,Less than 1 week,0,5,Medium Light,Neutral,1
3713,25 - 29,C White Lightening Serum,4.7,69,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium Light,Neutral,1
3732,30 - 34,Oil Free Brightening Daily Moisturizer,5.0,92,Shopee,Lotion \\u0026 Emulsion,Moisturizer,Dry,1 month - 3 months,0,5,Medium,Neutral,1
3734,25 - 29,Anti Acne & Brightening Serum,4.7,17,Instagram,Acne Treatment,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
3768,25 - 29,C White Lightening Serum,4.8,81,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
3776,30 - 34,Ultralight Hydraglow Day Cream,4.1,2397,Shopee,Day Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
3778,19 - 24,C White Lightening Serum,3.7,1285,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
3782,19 - 24,Anti Acne & Brightening Serum,3.2,201,Shopee,Acne Treatment,Treatment,Oily,3 months - 6 months,0,5,Medium Light,Cool,1
3783,19 - 24,Pore Tightening & Oil Control Moist Serum,3.9,169,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Light,Cool,1
3819,19 - 24,Instant Glow Peel Off Nail Serum,4.6,11,Beauty Studio,Vitamin \\u0026 Treatment,Nails,Dry,1 week - 1 month,1,5,Medium Light,Warm,1
3820,30 - 34,Anti Acne & Brightening Serum,3.6,125,Shopee,Acne Treatment,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
3854,19 - 24,Ultralight Hydraglow Day Cream,4.7,47,Shopee,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium,Neutral,1
3868,18 and Under,Pore Tightening & Oil Control Moist Serum,4.8,2336,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
3870,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.0,2089,Shopee,Sun Protection,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
3892,19 - 24,Anti Acne & Brightening Serum,4.2,482,Shopee,Acne Treatment,Treatment,Normal,1 week - 1 month,0,4,Medium,Warm,1
3893,19 - 24,Pore Tightening & Oil Control Moist Serum,3.8,576,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium Dark,Neutral,1
3895,19 - 24,Ultralight Hydraglow Day Cream,4.5,56,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,4,Medium Dark,Neutral,1
3896,19 - 24,C White Lightening Serum,4.4,9,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium Dark,Neutral,1
3898,25 - 29,Ultralight Hydraglow Day Cream,5.0,26,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium,Warm,1
3899,19 - 24,C White Lightening Serum,4.4,242,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Warm,1
3900,19 - 24,C White Lightening Serum,4.4,110,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Warm,1
3911,19 - 24,C-White Perfect Radiance Night Moisturizer,5.0,100,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3914,19 - 24,C White Lightening Serum,5.0,16,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
3951,19 - 24,Pore Tightening & Oil Control Moist Serum,4.8,2333,Instagram,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
3953,25 - 29,Ultralight Hydraglow Day Cream,4.7,95,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Light,Neutral,1
3958,18 and Under,C White Lightening Serum,3.6,1004,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Light,Neutral,1
3970,19 - 24,Oil Free Brightening Daily Moisturizer,4.2,250,Shopee,Lotion \\u0026 Emulsion,Moisturizer,Combination,3 months - 6 months,1,5,Medium Light,Neutral,1
3986,25 - 29,C White Lightening Serum,4.9,54,Traditional market,Serum \\u0026 Essence,Treatment,Dry,1 month - 3 months,1,5,Medium,Neutral,1
3989,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,5.0,901,Shopee,Sun Protection,Moisturizer,Dry,1 week - 1 month,1,4,Medium,Neutral,1
3991,19 - 24,Ultralight Hydraglow Day Cream,5.0,891,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,0,5,Medium,Neutral,1
3995,19 - 24,C White Lightening Serum,5.0,1182,Gift,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,0,5,Medium,Neutral,1
4002,30 - 34,C White Lightening Serum,5.0,12,Sample,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,4,Medium Light,Neutral,1
4003,19 - 24,Ultralight Hydraglow Day Cream,4.9,81,Sample,Day Cream,Moisturizer,Normal,Less than 1 week,1,4,Medium Light,Neutral,1
4031,45 and Above,Ultralight Hydraglow Day Cream,5.0,898,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Dark,Warm,1
4037,18 and Under,C White Lightening Serum,3.2,34,shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium Dark,Warm,1
4038,25 - 29,Pore Tightening & Oil Control Moist Serum,4.3,130,Brand website,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4076,25 - 29,Oil Free Brightening Daily Moisturizer,5.0,896,FD Try and Review,Lotion \\u0026 Emulsion,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
4080,30 - 34,Ultralight Hydraglow Day Cream,4.6,421,Shopee,Day Cream,Moisturizer,Oily,Less than 1 week,0,5,Medium Light,Neutral,1
4089,19 - 24,C White Lightening Serum,4.1,65,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,0,5,Medium Light,Neutral,1
4135,25 - 29,C-White Perfect Radiance Night Moisturizer,3.9,4611,Instagram,Night Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium,Neutral,1
4137,25 - 29,C White Lightening Serum,2.9,249,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 month - 3 months,0,5,Medium Light,Neutral,1
4181,30 - 34,C White Lightening Serum,4.5,150,Instagram,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,0,5,Medium Light,Neutral,1
4182,18 and Under,C-White Perfect Radiance Night Moisturizer,4.8,2324,Instagram,Night Cream,Moisturizer,Dry,Less than 1 week,0,5,Medium Light,Neutral,1
4219,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,4,Gift,Sun Protection,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4220,35 - 39,Ultralight Hydraglow Day Cream,4.6,110,Shopee,Day Cream,Moisturizer,Dry,1 week - 1 month,0,5,Light,Neutral,1
4222,25 - 29,C White Lightening Serum,4.9,120,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Light,Neutral,1
4223,19 - 24,C-White Perfect Radiance Night Moisturizer,4.5,67,Instagram,Night Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Cool,1
4226,19 - 24,C White Lightening Serum,3.3,129,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Light,Cool,1
4248,25 - 29,Ultralight Hydraglow Day Cream,4.5,327,Brand website,Day Cream,Moisturizer,Oily,1 week - 1 month,1,4,Medium,Cool,1
4255,25 - 29,C White Lightening Serum,4.8,2321,Brand website,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,4,Medium,Cool,1
4271,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.1,1747,Instagram,Sun Protection,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Warm,1
4281,18 and Under,Ultralight Hydraglow Day Cream,4.6,92,Instagram,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Dark,Warm,1
4312,25 - 29,Ultralight Hydraglow Day Cream,4.8,3483,Instagram,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
4315,25 - 29,C White Lightening Serum,4.3,142,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Warm,1
4321,19 - 24,Ultralight Hydraglow Day Cream,3.9,1273,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
4337,25 - 29,Ultralight Hydraglow Day Cream,4.3,74,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Neutral,1
4339,19 - 24,C White Lightening Serum,3.5,11,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4373,40 - 44,C White Lightening Serum,5.0,975,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium,Warm,1
4375,40 - 44,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,1457,Tokopedia,Sun Protection,Moisturizer,Dry,1 month - 3 months,0,5,Medium,Cool,1
4377,19 - 24,C-White Perfect Radiance Night Moisturizer,4.8,2315,Shopee,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium,Warm,1
4390,30 - 34,Anti Acne & Brightening Serum,4.3,144,Tokopedia,Acne Treatment,Treatment,Oily,1 month - 3 months,1,3,Light,Neutral,0
4414,25 - 29,C White Night Moisturizer,4.5,2208,Instagram,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
4419,25 - 29,C White Lightening Serum,4.8,3481,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
4421,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.7,108,Tokopedia,Sun Protection,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
4425,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.7,1814,Tokopedia,Sun Protection,Moisturizer,Combination,1 month - 3 months,0,5,Medium Light,Warm,1
4443,25 - 29,C White Lightening Serum,4.3,369,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 month - 3 months,0,4,Medium Light,Neutral,1
4450,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.3,1400,Shopee,Sun Protection,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
4455,18 and Under,Ultralight Hydraglow Day Cream,4.1,132,FD Flash Sale,Day Cream,Moisturizer,Normal,1 week - 1 month,0,5,Medium,Warm,1
4460,18 and Under,C White Lightening Serum,4.6,41,FD Flash Sale,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium,Warm,1
4490,19 - 24,C White Lightening Serum,4.8,2306,Instagram,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,0,5,Medium Light,Neutral,1
4497,30 - 34,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,63,Instagram,Sun Protection,Moisturizer,Normal,1 week - 1 month,1,5,Medium Dark,Neutral,1
4502,25 - 29,C-White Perfect Radiance Night Moisturizer,5.0,84,Sample,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Dark,Warm,1
4505,19 - 24,Ultralight Hydraglow Day Cream,4.9,59,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium,Warm,1
4509,30 - 34,C White Lightening Serum,4.9,62,Sample,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Dark,Warm,1
4513,40 - 44,C White Night Moisturizer,4.1,75,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium Light,Warm,1
4515,19 - 24,C White Lightening Serum,5.0,83,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium Light,Warm,1
4520,25 - 29,C White Lightening Serum,4.8,2302,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Warm,1
4535,19 - 24,C White Lightening Serum,4.4,21,Guardian,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium,Warm,1
4537,19 - 24,Ultralight Hydraglow Day Cream,4.6,100,PR Package,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
4539,19 - 24,Ultralight Hydraglow Day Cream,4.5,201,Tokopedia,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4542,19 - 24,Ultralight Hydraglow Day Cream,4.3,224,FD Try and Review,Day Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium Light,Neutral,1
4544,19 - 24,C White Lightening Serum,4.4,281,PR Package,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
4546,19 - 24,C White Lightening Serum,4.9,185,Guardian,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
4548,19 - 24,C White Night Moisturizer,4.9,115,Guardian,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4554,19 - 24,C White Lightening Serum,4.3,1622,FD Try and Review,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,4,Medium Light,Neutral,1
4557,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.5,469,Shopee,Sun Protection,Moisturizer,Combination,Less than 1 week,1,5,Light,Neutral,1
4573,19 - 24,Ultralight Hydraglow Day Cream,4.0,291,Beauty Studio,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Light,Neutral,1
4585,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,2295,Tokopedia,Sun Protection,Moisturizer,Combination,1 month - 3 months,0,5,Medium Light,Neutral,1
4587,25 - 29,C White Lightening Serum,4.8,1455,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
4597,19 - 24,Miraclear Herbal Peeling Serum,4.8,78,Shopee,Peeling,Treatment,Combination,1 month - 3 months,1,3,Medium,Warm,1
4613,25 - 29,Ultralight Hydraglow Day Cream,4.7,10,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
4614,25 - 29,C-White Perfect Radiance Night Moisturizer,5.0,1,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium Light,Neutral,1
4615,25 - 29,Revitalizing Anti aging serum,4.3,204,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,4,Medium Light,Neutral,1
4617,25 - 29,Ultralight Hydraglow Day Cream,4.9,45,Shopee,Day Cream,Moisturizer,Combination,1 month - 3 months,0,5,Medium,Neutral,1
4618,25 - 29,Ultralight Hydraglow Day Cream,5.0,48,Instagram,Day Cream,Moisturizer,Dry,1 week - 1 month,1,5,Medium,Cool,1
4620,19 - 24,C-White Perfect Radiance Night Moisturizer,5.0,2,Instagram,Night Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium,Neutral,1
4621,25 - 29,Skinfit Essence Toner,4.9,53,Shopee,Toner,Cleanser,Combination,1 week - 1 month,1,4,Medium Light,Neutral,1
4623,25 - 29,C White Lightening Serum,4.1,117,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
4624,19 - 24,C White Lightening Serum,4.8,1512,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
4629,25 - 29,Ultralight Hydraglow Day Cream,4.9,317,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Dark,Neutral,1
4630,25 - 29,C White Lightening Serum,5.0,1,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Dark,Neutral,1
4631,35 - 39,C White Lightening Serum,3.8,699,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 month - 3 months,1,4,Medium,Warm,1
4636,25 - 29,C White Lightening Serum,4.9,71,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium Light,Neutral,1
4654,19 - 24,Ultralight Hydraglow Day Cream,4.4,132,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Light,Cool,1
4667,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,1455,Shopee,Night Cream,Moisturizer,Combination,1 month - 3 months,1,5,Medium,Warm,1
4668,19 - 24,C White Lightening Serum,3.6,13156,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 month - 3 months,1,5,Medium,Warm,1
4670,19 - 24,C White Lightening Serum,5.0,58,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Light,Cool,1
4673,18 and Under,C White Lightening Serum,5.0,892,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,1,5,Light,Neutral,1
4690,19 - 24,Ultralight Hydraglow Day Cream,4.9,70,Brand website,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
4692,19 - 24,C White Lightening Serum,5.0,91,Beauty Studio,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Light,Neutral,1
4693,19 - 24,C White Lightening Serum,4.8,1453,Brand website,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
4712,25 - 29,C-White Perfect Radiance Night Moisturizer,5.0,1172,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Dark,Warm,1
4713,25 - 29,C White Lightening Serum,4.3,7,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Dark,Warm,1
4726,19 - 24,C White Lightening Serum,4.9,773,Brand website,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Neutral,1
4728,25 - 29,C White Night Moisturizer,4.4,619,Instagram,Night Cream,Moisturizer,Dry,1 week - 1 month,1,5,Medium,Neutral,1
4738,25 - 29,Pore Tightening & Oil Control Moist Serum,4.7,1813,Brand website,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Neutral,1
4739,25 - 29,C White Lightening Serum,4.7,16,Tokopedia,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Light,Cool,1
4743,35 - 39,Magic Colour Lip Serum,4.6,25,Instagram,Lip Balm \\u0026 Treatments,Lips,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4745,35 - 39,Ultralight Hydraglow Day Cream,4.8,2280,Whatsapp,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
4748,19 - 24,C White Lightening Serum,4.9,2373,Whatsapp,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Light,Neutral,1
4749,19 - 24,Ultralight Hydraglow Day Cream,4.9,192,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
4750,25 - 29,C White Lightening Serum,4.7,14,Instagram,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
4770,25 - 29,Magic Colour Lip Serum,3.0,2,Gift,Lip Balm \\u0026 Treatments,Lips,Dry,More than 1 year,1,5,Medium,Warm,1
4773,25 - 29,C White Lightening Serum,4.4,515,Tokopedia,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Light,Neutral,1
4777,19 - 24,C-White Perfect Radiance Night Moisturizer,4.8,2279,Shopee,Night Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium Light,Cool,1
4780,25 - 29,C White Lightening Serum,4.9,770,Shopee,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium Light,Cool,1
4788,18 and Under,Ultralight Hydraglow Day Cream,4.3,78,Brand website,Day Cream,Moisturizer,Normal,1 week - 1 month,0,5,Medium Light,Neutral,1
4789,19 - 24,C White Lightening Serum,5.0,89,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,0,5,Medium Light,Neutral,1
4796,19 - 24,C White Night Moisturizer,3.7,21,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4799,18 and Under,C White Lightening Serum,4.7,205,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4801,25 - 29,C White Lightening Serum,4.9,68,Beauty Studio,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Warm,1
4803,25 - 29,Ultralight Hydraglow Day Cream,4.6,1255,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
4808,19 - 24,Anti Acne & Brightening Serum,5.0,88,Shopee,Acne Treatment,Treatment,Normal,1 week - 1 month,1,5,Light,Neutral,1
4829,19 - 24,Oil Free Brightening Daily Moisturizer,4.9,7,Shopee,Lotion \\u0026 Emulsion,Moisturizer,Dry,1 week - 1 month,1,5,Medium,Neutral,1
4832,25 - 29,C-White Perfect Radiance Night Moisturizer,4.7,3,Instagram,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
4835,25 - 29,C White Night Moisturizer,4.9,1044,Shopee,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
4837,30 - 34,C White Lightening Serum,4.7,2912,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium Light,Warm,1
4841,40 - 44,Ultralight Hydraglow Day Cream,4.4,337,Instagram,Day Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
4843,40 - 44,C White Lightening Serum,4.8,59,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium,Neutral,1
4845,19 - 24,C White Lightening Serum,5.0,86,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium,Neutral,1
4846,40 - 44,Ultralight Hydraglow Day Cream,5.0,52,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
4865,19 - 24,C White Lightening Serum,4.9,560,Brand website,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Warm,1
4867,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,28,Shopee,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Cool,1
4868,19 - 24,Ultralight Hydraglow Day Cream,4.6,31,Whatsapp,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium,Warm,1
4871,18 and Under,C White Lightening Serum,4.9,65,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium,Neutral,1
4882,19 - 24,Ultralight Hydraglow Day Cream,3.0,1,Dan+Dan,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium Light,Neutral,1
4887,25 - 29,C White Lightening Serum,4.5,2,Dan+Dan,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Warm,1
4891,30 - 34,Instant Glow Peel Off Nail Serum,4.7,41,Brand website,Vitamin \\u0026 Treatment,Nails,Combination,1 week - 1 month,1,5,Medium Light,Warm,1
4920,25 - 29,Ultralight Hydraglow Day Cream,5.0,888,FD Try and Review,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Light,Cool,1
4921,25 - 29,C White Lightening Serum,4.9,54,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
4924,18 and Under,Ultralight Hydraglow Day Cream,4.9,559,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
4929,19 - 24,Ultralight Hydraglow Day Cream,4.6,14,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
4938,30 - 34,Ultralight Hydraglow Day Cream,4.4,618,Instagram,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
4941,19 - 24,C White Lightening Serum,4.9,762,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Light,Cool,1
4957,25 - 29,Revitalizing Anti aging serum,4.5,15,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
4959,19 - 24,Skinfit Essence Toner,4.0,3558,Instagram,Toner,Cleanser,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
4960,19 - 24,Ultralight Hydraglow Day Cream,4.9,781,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,0,5,Light,Cool,1
4966,25 - 29,C White Lightening Serum,4.6,2434,Instagram,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,0,5,Medium,Warm,1
4971,25 - 29,C White Lightening Serum,4.4,5,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Light,Warm,1
4972,25 - 29,C White Night Moisturizer,3.3,344,Instagram,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
