,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
1930,19 - 24,C White Lightening Serum,4.8,1479,XBeauty by Female Daily,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
1959,30 - 34,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,117,Shopee,Sun Protection,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
1985,30 - 34,C White Night Moisturizer,3.7,744,Brand website,Night Cream,Moisturizer,Oily,Less than 1 week,0,5,Medium,Neutral,1
1988,19 - 24,C White Lightening Serum,3.7,1609,Brand website,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,0,5,Medium,Neutral,1
1994,19 - 24,Anti Acne & Brightening Serum,4.8,59,Gift,Acne Treatment,Treatment,Dry,1 week - 1 month,1,5,Medium,Neutral,1
1996,25 - 29,Miraclear Herbal Peeling Serum,4.6,216,Shopee,Peeling,Treatment,Combination,3 months - 6 months,1,3,Medium,Neutral,1
1998,18 and Under,Anti Acne & Brightening Serum,4.8,58,Shopee,Acne Treatment,Treatment,Combination,3 months - 6 months,1,3,Medium,Neutral,0
2044,19 - 24,Pore Tightening & Oil Control Moist Serum,4.8,5,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Neutral,1
2063,19 - 24,Azarine Hydrashoothe Sunscreen Gel SPF45+++,4.5,4,Facebook,Lotion \\u0026 Emulsion,Moisturizer,Oily,More than 1 year,1,5,Medium,Neutral,1
2066,19 - 24,Acne Gentle Cleansing Foam,5.0,82,Shopee,Facial Wash,Cleanser,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
2094,25 - 29,Pore Tightening & Oil Control Moist Serum,4.8,7939,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Light,Warm,1
2103,19 - 24,Revitalizing Anti aging serum,4.2,3344,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
